month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Brooklyn,2,LCL/LTD,B25,Off-Peak,660,4714.47,7.142938
2025-01-01,Brooklyn,2,LCL/LTD,B25,Peak,256,1732.4401,6.748532
2025-01-01,Brooklyn,1,LCL/LTD,B26,Off-Peak,2475,17482.73,7.062834
2025-01-01,Brooklyn,1,LCL/LTD,B26,Peak,1332,8343.807,6.263905
2025-01-01,Brooklyn,2,LCL/LTD,B26,Off-Peak,781,6018.123,7.6960936
2025-01-01,Brooklyn,2,LCL/LTD,B26,Peak,298,2187.909,7.3209987
2025-01-01,Brooklyn,1,LCL/LTD,B3,Off-Peak,2699,19159.895,7.0987225
2025-01-01,Brooklyn,1,LCL/LTD,B3,Peak,1268,7982.825,6.294259
2025-01-01,Brooklyn,2,LCL/LTD,B3,Off-Peak,867,6489.856,7.4826736
2025-01-01,Brooklyn,2,LCL/LTD,B3,Peak,367,2649.536,7.2158065
2025-01-01,Brooklyn,1,LCL/LTD,B31,Off-Peak,490,4878.964,9.954609
2025-01-01,Brooklyn,1,LCL/LTD,B31,Peak,301,2547.3691,8.450137
2025-01-01,Brooklyn,2,LCL/LTD,B31,Off-Peak,158,1752.267,11.0476265
2025-01-01,Brooklyn,2,LCL/LTD,B31,Peak,57,575.61,10.060083
2025-01-01,Brooklyn,1,LCL/LTD,B32,Off-Peak,308,2559.388,8.298797
2025-01-01,Brooklyn,1,LCL/LTD,B32,Peak,165,1278.241,7.745155
2025-01-01,Brooklyn,2,LCL/LTD,B32,Off-Peak,113,1004.59503,8.824536
2025-01-01,Brooklyn,2,LCL/LTD,B32,Peak,55,500.476,9.008118
2025-01-01,Brooklyn,1,LCL/LTD,B35,Off-Peak,4635,27489.229,5.929916
2025-01-01,Brooklyn,1,LCL/LTD,B35,Peak,2420,12897.521,5.3287687
2025-01-01,Brooklyn,2,LCL/LTD,B35,Off-Peak,1438,9128.351,6.3455014
